Vehicle	Type	Style	Color	Item	Cost	Date	Odometer(km)	Description
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$450.00	2026-08-05	239342	dpf clean
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$95.22	2026-07-21	239342	Boost Pressure Valve Pierberg 1k0906627A
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$178.86	2026-07-14	239342	NTK EGR Valve EGE5-D009
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$172.98	2026-07-07	239340	Bosch Air Mass Sensor - 0281002735
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$10.00	2026-06-30	239335	Bendix Brake Fluid DOT 4
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$0.00	2026-06-30	239335	Nulon Apex+ 5W-30 Euro
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$430.00	2026-06-30	239335	Starter motor - BOSCH 1986S00804 / Valeo 438266
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$95.00	2026-06-30	239335	4G0971782 - Glow Plug Connector
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	$29.71	2026-06-30	239335	Mann Filter Cabin Air Filter FP2939/1
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	$11.86	2026-06-30	239335	Mann Oil Filter HU719/7x
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Intake gasket	$46.68	2026-06-30	239335	"03L131547B - Fuel Injection Throttle Body Mounting Gasket
03G131547C - EGR Valve Gasket
069131547D - EGR Valve Gasket
03L129717 - Engine Intake Manifold Gasket"
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	coolant tank and cap	$87.91	2026-06-30	239335	"Meyle Coolant Expansion Tank 100 223 0009
Meyle Coolant Expansion Tank Cap 100 121 0070"
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Air Filter	$57.95	2026-06-30	239335	Mann-Filter Air Filter C35154
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$114.82	2026-06-30	239335	"TRW PHD1138 Hydraulic Brake Hose
TRW PHD2022 Hydraulic Brake Hose"
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$13.62			dogbone mount N10513102, N91066101
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$132.80	2026-03-27	239118	SuperPro TRC1045L Rear Sway Bar Link
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$9.20			Subframe mount bolt: N10558002
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$13.61			Fuel Injector seal and oring: 4x 059130119/059130519/WHT000884
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$15.76	2026-03-07	238960	8x rail rubber hole N0200321
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$290.36	2025-11-08	236606	rear swaybar superpro RC0006RZ-24
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$25.92			Rear swaybar bracket screw N10719301
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$68.00	2025-10-30	236535	Rear swaybar link
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$35.96			Nulon Red (coolant leak)
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Wheel rotation	-	2025-08-16	234036	
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	-	2025-08-16	234036	Mann Oil Filter HU719/7x
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	-			Mann Filter Cabin Air Filter C2939
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Turbo	$80.84	2025-03-19	230000	Turbocharger Electronic Actuator 03L198716A (Aftermarket)
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Rear shock	$343.12	2024-08-20	226089	MEYLE 100 513 0008 + Sachs 313 253 + Sachs 900 202
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	-	2024-07-31	225881	Mann Oil Filter HU719/7x
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	-	2024-07-31	225881	Mann Filter Cabin Air Filter CUK2939/1
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Fuel filter	$30.24	2024-07-31	225881	wesfil WCF112
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Differential Oil	$41.00	2024-08-01	225881	Nulon 75W-90
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$54.99	2024-08-02	225881	Nulon Apex+ 5W-30 Euro
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Transmission Filter	$75.60	2024-08-03	225881	Transgold WCTK142
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$95.78	2024-08-03	225881	Nulon Red
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Timing belt + water pump	$295.00	2024-08-03	225881	Gates 5649XS 160x25, VW
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Serpentine belt	$16.40	2024-08-03	225881	Gates 6PK1070, VW
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Auxiliary water pump	$46.99	2024-08-03	225881	
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Transmission Oil	$107.02	2024-08-04	225881	Penrite ATF FS
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Front shock	$533.95	2024-08-21	226089	Sachs 314 883 + Sachs 802 417 +  sachs 900 104 shock absorber
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$9.00	2024-08-21	226089	Bendix Brake Fluid DOT 4
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$1,368.00	2024-09-13	226615	BSR Tuning
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$7.00	2024-09-13	226615	Intake Cleaning, Repco Carby Cleaner
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Additive	$26.50	2024-09-18	226615	Nulon Pro-Strength Diesel Turbo Cleaner
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Auxiliary water pump	$251.96	2024-09-18	226697	Pierburg Auxiliary Water Pump 7.01713.28.0
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Haldex	$500.29	2024-10-18	228848	0AY598549A - Gen 4 Haldex - Pre-charging Pump + G055175A2 - Haldex Coupling Oil + N91082701 - Haldex Drain Plug + 2003085 - Haldex Oil Filter + N90281802 - Haldex Fill & Drain Plug
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Cabin Air Filter	$38.96			Ryco RCA183M
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Cabin Air Filter	$38.96			Ryco RCA183M
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Cabin Air Filter	$38.96			Ryco RCA183M
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Engine Oil	$48.99			Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Engine Oil	$48.99			Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Engine Oil	$48.99			Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Engine Oil	$48.99			Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Other	$100.26			Nolathane Rear Sway Bar Link 42893
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Other	$336.71			Whiteline BSR49XZ Swaybar 22mm
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Cabin Air Filter	$38.96	2026-05-26	172141	Ryco RCA183M
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	pvc valve	$34.28	2026-06-11	172285	"11810AA100 valve
99071AD250 hose"
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	wheel alignment	$99.00	2026-05-15	171972	
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Strut	$1,162.44	2026-05-09	171935	"1x Subaru 90235000 Rear Strut bottom nut
1x Subaru 901000357 Rear Strut bottom bolt
2x KYB KSM7235 Strut Top Mount
2x KYB 341486 Excel-G Shock Absorber
1x KYB 339170 Excel-G Gas Strut Shock Absorber
1x KYB 339169 Excel-G Gas Strut Shock Absorber
2x KYB SB5010 Bump Stop Protection Kit
2x KYB SB5242 Protection Kit
2x KYB KSM7622 Suspension Mounting Kit"
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Oil filter	$20.00	2026-05-09	171935	Subaru 15208AA100
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	engine oil	$48.73	2026-05-09	171935	Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	front differential	$41.00	2024-08-10	169656	Nulon 75W-90
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	rear differential	-	2024-08-28	169656	Nulon 75W-90
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	engine oil	$48.73	2024-08-30	169656	Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Oil filter	$21.56	2024-08-30	169656	Ryco Z436
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Timing belt + water pump	$375.00	2024-08-30	169656	Gates 4PK845, Basco Kit
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Serpentine belt	$33.95	2024-08-30	169656	Gates 5PK875 + Gates K040317SF
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Head gakset	$403.56	2024-08-30	169656	Fel-Pro HS 26415 PT-1 + Durapro HBK8290D
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Air filter	$31.44	2024-09-01	169656	Ryco A1527
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Head gakset	$111.70	2024-09-15	169656	Fel-Pro HS 26415 PT
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Engine valve	$84.80	2024-09-15	169656	Motoku
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Timing belt + water pump	$379.06	2024-09-15	169656	AISIN TKF-006 Engine Timing Belt Kit with Water Pump
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Intake Manifold Gasket	$28.54	2024-09-16	169656	Fel-Pro MS96106 Intake Manifold Gasket Set
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	engine oil	$48.73	2024-09-16	169656	Castrol Edge 5W-30 A3/B4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	transmission fluid	$53.51	2024-09-17	169656	Penrite ATF FS
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Coolant	$109.53	2024-09-17	169656	Penrite blue
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Fuel filter	$139.90	2024-09-18	169656	Ryco Z931
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Brake fluid	$18.50	2024-09-18	169656	BOSCH BF4-1L Brake Fluid DOT 4
2010 Subaru Forester SH EJ253 4AT	EJ253 F4 16V SOHC VVT MPFI {126KW} 07~10 SUBARU FORESTER 2.5L 4AT	SUV	Silver	Spark plug	$103.60	NA		NGK SILFR6A (not compatible)
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Fuel filter				
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Coolant				
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Cabin Air Filter	$28.00			Ryco RCA164M
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Air filter	$41.00			Ryco A1215
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	engine	$78.19			Penrite 10W-40 Full Syn
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	engine	$78.19			Penrite 10W-40 Full Syn
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	transmission fluid + filter	$125.59			"Penrite ATF FS
Ryco  RTK193"
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	rear differential	$52.00			Nulon 80w-90
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Tyre	$820.00	2026-08-11		michelin agilis 3 195r14c
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Belt + waterpump	$459.38			"Gates K037PK2285
Aisin WPT-044V"
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	Strut	$349.53	2026-05-09	126593	"KYB 344493 Excel-G Shock Absorber
KYB 344204 Excel-G Shock Absorber"
2007 TOY Hiace 2.7L RWD 2TR-FE		VAN	White	belt	-	2026-05-17	126593	gates 7PK2285
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	engine oil	$50.00	2024-09-19	60010	replace with Castrol Edge 5W-30 A3/B4, API SL/SM/SN or ACEA A3/A5
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	engine filter	$20.00	2024-09-19	60010	replace with Mazda Oil Filter 1WPE-14-302
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	other	$14.00	2024-06-22	58617	fan button glue with UHU Plastic Glue
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	other	$18.00	2024-06-22	58576	Jack point undercoat
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	brake disc	$640.00	2024-06-01	57646	front DBA 4000 HD Disc Brake Rotor 280mm DBA42964, rear DBA 4000 HD Disc Brake Rotor 280mm DBA42965
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	brake pad	$502.00	2024-06-01	57646	front WinmaX WMP1449-W5, rear WinmaX WMP662-W5
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	brake fluid	$50.00	2024-06-01	57646	Penrite racing brake fluid 600
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	air filter	$30.00	2024-05-12	57496	mazda PEES-13-3A0
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	cabin filter	$20.00	2024-05-12	57496	bosch 986 AF4 227
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	engine oil	$50.00	2024-05-12	57496	replace with Castrol Edge 5W-30 A3/B4, API SL/SM/SN or ACEA A3/A5
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	engine filter	$22.00	2024-05-12	57496	replace with Mazda Oil Filter 1WPE-14-302
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	transmission oil	$60.00	2024-05-12	57496	replace with Mazda Original Long Life Gear Oil IS
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	differential oil	$100.00	2024-05-12	57496	replace with Mazda Long Life Hypoid Gear Oil SG1
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	interior light	$10.00	2024-03-05	55856	remove KHA 12V10W 15J21A, replace with led bulb
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	battery	$400.00	2024-03-05	55856	remove Panasonic B24(JIS) CCA 325A 20HR 45Ah Dimension:238*129*227 , replace with NS60LSX MF Yuasa Power Series ULTRA Auto Battery
2016 MAZDA MX5 ND 2.0L	PE-VPS I4 16v DOHC VVT Direct Inj {118kW}	CONVERTIBLE	RED	engine filter	$22.00	2024-09-19	60010	replace with Mazda Oil Filter 1WPE-14-302
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$50.00	2024-01-26	89172	replace left outer cv boot
