Vehicle	Type	Style	Color	Item	Cost	Date	Odometer(km)	Description	Next Date	Next Odo	Spec																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$68.00	2025-10-30	236535	Rear swaybar link	NA	NA	"rear sway bar bracket: 25nm + 45turn, 21.7mm diameter
rear sway bar link: 65nm, 65nm"																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$35.96			Nulon Red (coolant leak)	NA																				
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Wheel rotation	-	2025-08-16	234036		NA	242036	8kkm 125nm																		
																													
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	-	2025-08-16	234036	Mann Oil Filter HU719/7x	2026-08-16	244036	10kkm, 25nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	-			Mann Filter Cabin Air Filter C2939			15kkm/year																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Turbo	$80.84	2025-03-19	230000	Turbocharger Electronic Actuator 03L198716A (Aftermarket)	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Rear shock	$343.12	2024-08-20	226089	MEYLE 100 513 0008 + Sachs 313 253 + Sachs 900 202	NA	NA	16 socket, 21,22 spanner, T25 bit; shock 25nm, 1x low 180nm, 2x top 50nm+45d																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	-	2024-07-31	225881	Mann Oil Filter HU719/7x	2025-08-02	234036	10kkm, 25nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	-	2024-07-31	225881	Mann Filter Cabin Air Filter CUK2939/1	2025-07-31	240881	15kkm/year																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Fuel filter	$30.24	2024-07-31	225881	wesfil WCF112	NA	270881	45kkm, 9nm, m5 bolt																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Differential Oil	$41.00	2024-08-01	225881	Nulon 75W-90	NA	345881	120kkm, filter 15nm, drain 30nm, 1liter front/rear																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$54.99	2024-08-02	225881	Nulon Apex+ 5W-30 Euro	2025-08-02	234036	10kkm/year, 30nm, 4.1-4.7 liter																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Transmission Filter	$75.60	2024-08-03	225881	Transgold WCTK142	NA	345881	120kkm, drain 16nm, pan 9.5nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$95.78	2024-08-03	225881	Nulon Red	NA	255881	30kkm, total cap 11l, change 4l																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Timing belt + water pump	$295.00	2024-08-03	225881	Gates 5649XS 160x25, VW	2031-08-03	325881	100kkm/7 year																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Serpentine belt	$16.40	2024-08-03	225881	Gates 6PK1070, VW	2031-08-03	325881	100kkm/7 year																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Auxiliary water pump	$46.99	2024-08-03	225881		NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Transmission Oil	$107.02	2024-08-04	225881	Penrite ATF FS	NA	345881	120kkm, 7literat 35-45C																		
																													
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Front shock	$533.95	2024-08-21	226089	Sachs 314 883 + Sachs 802 417 +  sachs 900 104 shock absorber	NA	NA	"center strut 60nm, lower strut mount 65nm top struct mount 65nm, control arm 3x60nm, swaybar link top 65nm, hub nut 70nm+90d, top strut mount 15nm+90d, 
remove: wiper -> loose top mount -> wheel -> swaybar -> wheel hub -> abs sensor/brake hose -> control arm -> lower struct mount"																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$9.00	2024-08-21	226089	Bendix Brake Fluid DOT 4	2026-08-21		2year(gauge check)																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$1,368.00	2024-09-13	226615	BSR Tuning	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$7.00	2024-09-13	226615	Intake Cleaning, Repco Carby Cleaner	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Additive	$26.50	2024-09-18	226615	Nulon Pro-Strength Diesel Turbo Cleaner	NA	NA	10kkm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Auxiliary water pump	$251.96	2024-09-18	226697	Pierburg Auxiliary Water Pump 7.01713.28.0	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Haldex	$500.29	2024-10-18	228848	0AY598549A - Gen 4 Haldex - Pre-charging Pump + G055175A2 - Haldex Coupling Oil + N91082701 - Haldex Drain Plug + 2003085 - Haldex Oil Filter + N90281802 - Haldex Fill & Drain Plug	NA	293848	"65kkm, drain plug 38nm
drain fill 15nm
precharge pump 2 x hex bolts = 6Nm
filter 6nm"																		
